Course Code,Section Code,Instructor,Comment Type,Comment Text
IST3005,A,"Afundi, Patrick",Resources,None
IST3005,A,"Afundi, Patrick",Overall,ok
IST3005,A,"Afundi, Patrick",Overall,n/a
IST3005,A,"Afundi, Patrick",Overall,good
IST3005,A,"Afundi, Patrick",Overall,good
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Overall,N/A
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Overall,great .
IST3005,A,"Afundi, Patrick",Overall,Excellent
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Overall,good
IST3005,A,"Afundi, Patrick",Overall,Good
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,excellent
IST3005,A,"Afundi, Patrick",Course Text,nil
IST3005,A,"Afundi, Patrick",Course Text,Good
IST3005,A,"Afundi, Patrick",Course Text,Excellent
IST3005,A,"Afundi, Patrick",Course Text,GOOD
IST3005,A,"Afundi, Patrick",Course Text,ok
IST2040,B,"Afundi, Patrick",Course Text,hours or by appointment.
IST2040,B,"Afundi, Patrick",Course Text,per week?
IST2040,B,"Afundi, Patrick",Strengths,Ok
IST2040,B,"Afundi, Patrick",Strengths,Good
IST2040,B,"Afundi, Patrick",Strengths,Timing hands on application of IT programs and systems All areas were relevant to my area of study .
IST2040,B,"Afundi, Patrick",Strengths,Good
IST2040,B,"Afundi, Patrick",Weaknesses,Ok
IST2040,B,"Afundi, Patrick",Weaknesses,.
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,Good
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,None
IST2040,B,"Afundi, Patrick",Weaknesses,none
IST2040,B,"Afundi, Patrick",Weaknesses,N/A
IST2040,B,"Afundi, Patrick",Suggestions,improve his/her teaching in this course.
IST2040,B,"Afundi, Patrick",Suggestions,N/A
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,none
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,Good
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,None
IST2040,B,"Afundi, Patrick",Suggestions,Ok
IST2040,B,"Afundi, Patrick",Suggestions,n/a
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Good
IST2040,B,"Afundi, Patrick",Feedback Evaluation,Fair
